Upper,     m=2, n=1, i=50,fi=19,     band=59,5,     obserAnalytic=2,     observModel=2,     long=135,005408,     valid=False,     error=14495,2857456495,     limit=14378,6740322683,     length=2,53652268575041,     
Upper,     m=2, n=1, i=50,fi=19,     band=60,     obserAnalytic=2,     observModel=2,     long=135,005408,     valid=False,     error=14495,2857456495,     limit=14378,6740322683,     length=3,00380473319422,     
Upper,     m=2, n=1, i=51,fi=11,     band=60,     obserAnalytic=2,     observModel=2,     long=135,005295,     valid=False,     error=18529,7905273667,     limit=14378,7102396692,     length=0,100270905094959,     
Upper,     m=2, n=1, i=51,fi=12,     band=59,5,     obserAnalytic=2,     observModel=2,     long=135,005295,     valid=False,     error=17668,8582309119,     limit=14378,7102396692,     length=0,0842836102222577,     
Upper,     m=2, n=1, i=51,fi=12,     band=60,     obserAnalytic=2,     observModel=2,     long=135,005295,     valid=False,     error=17668,8582309119,     limit=14378,7102396692,     length=0,369103036347212,     
Upper,     m=2, n=1, i=51,fi=13,     band=59,     obserAnalytic=2,     observModel=2,     long=135,005295,     valid=False,     error=16971,1608041213,     limit=14378,7102396692,     length=0,0425743458415866,     
Upper,     m=2, n=1, i=51,fi=13,     band=59,5,     obserAnalytic=2,     observModel=2,     long=135,005295,     valid=False,     error=16971,1608041213,     limit=14378,7102396692,     length=0,394754711593038,     
Upper,     m=2, n=1, i=51,fi=13,     band=60,     obserAnalytic=2,     observModel=2,     long=135,005295,     valid=False,     error=16971,1608041213,     limit=14378,7102396692,     length=0,711294434700022,     
Upper,     m=2, n=1, i=51,fi=14,     band=59,     obserAnalytic=2,     observModel=2,     long=135,005295,     valid=False,     error=16370,8777350335,     limit=14378,7102396692,     length=0,389284359007519,     
Upper,     m=2, n=1, i=51,fi=14,     band=59,5,     obserAnalytic=2,     observModel=2,     long=135,005295,     valid=False,     error=16370,8777350335,     limit=14378,7102396692,     length=0,768051137715162,     
Upper,     m=2, n=1, i=51,fi=14,     band=60,     obserAnalytic=2,     observModel=2,     long=135,005295,     valid=False,     error=16370,8777350335,     limit=14378,7102396692,     length=1,11492938912298,     
Upper,     m=2, n=1, i=51,fi=15,     band=58,5,     obserAnalytic=2,     observModel=2,     long=135,005295,     valid=False,     error=15835,7569727875,     limit=14378,7102396692,     length=0,360256181031616,     
Upper,     m=2, n=1, i=51,fi=15,     band=59,     obserAnalytic=2,     observModel=2,     long=135,005295,     valid=False,     error=15835,7569727875,     limit=14378,7102396692,     length=0,791623744136757,     
Upper,     m=2, n=1, i=51,fi=15,     band=59,5,     obserAnalytic=2,     observModel=2,     long=135,005295,     valid=False,     error=15835,7569727875,     limit=14378,7102396692,     length=1,19661685480213,     
Upper,     m=2, n=1, i=51,fi=15,     band=60,     obserAnalytic=2,     observModel=2,     long=135,005295,     valid=False,     error=15835,7569727875,     limit=14378,7102396692,     length=1,57274473283479,     
Upper,     m=2, n=1, i=51,fi=16,     band=58,     obserAnalytic=2,     observModel=2,     long=135,005295,     valid=False,     error=15349,343389393,     limit=14378,7102396692,     length=0,311684414700323,     
Upper,     m=2, n=1, i=51,fi=16,     band=58,5,     obserAnalytic=2,     observModel=2,     long=135,005295,     valid=False,     error=15349,343389393,     limit=14378,7102396692,     length=0,789239725010418,     
Upper,     m=2, n=1, i=51,fi=16,     band=59,     obserAnalytic=2,     observModel=2,     long=135,005295,     valid=False,     error=15349,343389393,     limit=14378,7102396692,     length=1,24438553111119,     
Upper,     m=2, n=1, i=51,fi=16,     band=59,5,     obserAnalytic=2,     observModel=2,     long=135,005295,     valid=False,     error=15349,343389393,     limit=14378,7102396692,     length=1,67528125015883,     
Upper,     m=2, n=1, i=51,fi=16,     band=60,     obserAnalytic=2,     observModel=2,     long=135,005295,     valid=False,     error=15349,343389393,     limit=14378,7102396692,     length=2,0798301699152,     
Upper,     m=2, n=1, i=51,fi=17,     band=57,5,     obserAnalytic=2,     observModel=2,     long=135,005295,     valid=False,     error=14901,105702936,     limit=14378,7102396692,     length=0,245966493313034,     
Upper,     m=2, n=1, i=51,fi=17,     band=58,     obserAnalytic=2,     observModel=2,     long=135,005295,     valid=False,     error=14901,105702936,     limit=14378,7102396692,     length=0,765079423088139,     
Upper,     m=2, n=1, i=51,fi=17,     band=58,5,     obserAnalytic=2,     observModel=2,     long=135,005295,     valid=False,     error=14901,105702936,     limit=14378,7102396692,     length=1,26482098728906,     
